model_name,imbalance_strategy,class_weight_mode,sampler,auroc,pr_auc,high_acuity_recall,high_acuity_precision,high_acuity_f1,specificity,predicted_urgent_rate
catboost,class_weight_balanced,balanced,,0.8033948534803397,0.6316477025812499,0.9591996026396084,0.28259051760180615,0.43656445284115675,0.22348681977599275,0.8206835026077409
random_forest,class_weight_balanced,balanced,,0.7978355679904924,0.616329032163321,0.9985098985311857,0.24607421396845383,0.3948428008249274,0.024459780518158163,0.9810938786714246
hist_gradient_boosting,unbalanced,,,0.8052177636641865,0.6281100783521095,0.9972681473071737,0.2475865835183032,0.39668919967823424,0.033567145604706417,0.9738882788910239
random_forest_unweighted,unbalanced,,,0.8019193414294021,0.6241375277586432,0.9957780458383595,0.2492451690821256,0.39869596715769134,0.04354564996040276,0.965962119132583
extra_trees,class_weight_balanced,balanced,,0.7782689152650704,0.5897266238094057,0.9936848080607393,0.24757796478325436,0.39639384632803537,0.03699513519628917,0.9704227285204502
raw_tfidf_svd_lightgbm,class_weight_balanced,balanced,,0.7935574607760304,0.609543452215723,0.9926559284751295,0.2515803008641076,0.40142325267756584,0.05833239054191651,0.9539956766401317
raw_tfidf_word_char_linear_svm,class_weight_balanced,balanced,,0.7181237373214557,0.516232052578335,0.991875399134322,0.24514652496448677,0.3931293416204967,0.026077610589433194,0.9782631073291244
raw_tfidf_svd_catboost_smote,smote,,SMOTE,0.7844665806579725,0.600903685587254,0.9907755623359115,0.2511647149821021,0.4007404643687398,0.058038239619866504,0.9537640680757618
raw_tfidf_svd_catboost,class_weight_balanced,balanced,,0.7820464191023914,0.6020447804321465,0.9901014688143049,0.25009409782589215,0.39932175256846864,0.05329788437606064,0.9571953060664288
lightgbm,class_weight_balanced,balanced,,0.8112718538923315,0.6355528574030942,0.9897821613567019,0.263129102844639,0.4157365323001267,0.11612173322774069,0.9094839418062037
lightgbm_gpu,class_weight_balanced,balanced,,0.812275613870002,0.635164071653385,0.9893918966862981,0.2651611676333555,0.4182339002369597,0.12565901120036202,0.9021582486961296
logistic_regression_unweighted,unbalanced,,,0.720120101123541,0.5201134272712001,0.9893564180798978,0.24600157026032798,0.3940286697328727,0.0330240977486141,0.9723871122701071
catboost_gpu,class_weight_balanced,balanced,,0.8087173890134745,0.6358902862759184,0.9879727524302845,0.2614447198437735,0.4134731027929146,0.11002375834370404,0.9136700521548174
raw_tfidf_svd_lightgbm_smote,smote,,SMOTE,0.785911498381523,0.5943805143012478,0.9859504718654651,0.2581610092339706,0.4091819306201779,0.0965493834144134,0.9233976118583584
xgboost,balanced_sample_weight,balanced_sample_weight,,0.8092199373118434,0.6293297379975165,0.985524728588661,0.2685836943069307,0.4221259782691285,0.14417920579251048,0.887180894866868
raw_tfidf_svd_xgboost,balanced_sample_weight,balanced_sample_weight,,0.7865143079612235,0.5968533123790454,0.9826509614702335,0.2593886381089738,0.4104353753593551,0.10531734359090394,0.9159518254186111
xgboost_gpu,balanced_sample_weight,balanced_sample_weight,,0.8039257027808588,0.6205885942264775,0.9799900659902079,0.2717096203029707,0.42545785006854275,0.16237130897160312,0.8720491353280263
logistic_regression,class_weight_balanced,balanced,,0.7195248135382284,0.5142441458496445,0.9764422053501739,0.25086822171784845,0.3991790736295533,0.07020024889693405,0.9410770656052704
structured_logistic_smote,smote,,TemporalConsistentSMOTENC,0.7122637031089848,0.5024499115471108,0.975626197402966,0.2496323462662721,0.39754524952292836,0.0648376513180224,0.9449457864397475
raw_tfidf_word_char_logistic,class_weight_balanced,balanced,,0.7181862473425864,0.5151307156156157,0.9751649755197616,0.250380316459732,0.3984546581329777,0.06900101821473018,0.9416775322536372
raw_tfidf_svd_xgboost_smote,smote,,SMOTE,0.7705157776963104,0.5600153746644939,0.9748456680621586,0.26465234100343854,0.41628979842283476,0.13625975789116415,0.8906035547625584
structured_xgboost_smote,smote,,TemporalConsistentSMOTENC,0.8023943868838831,0.6173050663156232,0.9674661179308877,0.28306430684590234,0.4379823483589113,0.21862201606516574,0.8263707795772715
raw_tfidf_word_char_sgd_logistic,class_weight_balanced,balanced,,0.7145134248614213,0.5155503060156599,0.9137160292343717,0.26956812995875984,0.41631373056157245,0.21049892521778482,0.8195340378808674
