threshold,recall,precision,source
0.95,0.2152059740686033,0.9696801626918099,validation_threshold_curve
0.9,0.301206302314131,0.9433307632999227,validation_threshold_curve
0.85,0.3776054488757591,0.9119104240982955,validation_threshold_curve
0.8,0.4568357131134088,0.8830901015228426,validation_threshold_curve
0.75,0.5291728212703102,0.8477060602077034,validation_threshold_curve
0.7,0.5962169702937797,0.8178185502026114,validation_threshold_curve
0.65,0.6546857049072706,0.7879117080637993,validation_threshold_curve
0.6,0.7006811094698835,0.7591127311522048,validation_threshold_curve
0.55,0.7434350894469063,0.7359463850528026,validation_threshold_curve
0.5,0.7772443787953389,0.710460188275888,validation_threshold_curve
0.45,0.8108485146889873,0.6868960722975321,validation_threshold_curve
0.4,0.8435499753815854,0.6618271954674221,validation_threshold_curve
0.35,0.8691941572296078,0.6363854842585916,validation_threshold_curve
0.3,0.8954537994419826,0.6076569678407351,validation_threshold_curve
0.25,0.9212210733628754,0.5740584490296847,validation_threshold_curve
0.2,0.9436648613162646,0.537560770381451,validation_threshold_curve
0.15,0.9682012145084523,0.4930113030942482,validation_threshold_curve
0.1,0.9897833579517479,0.4417889126971046,validation_threshold_curve
0.05,0.9982356802888561,0.4049703708635728,validation_threshold_curve
