threshold,false_positive_rate,true_positive_rate,specificity,source
0.95,0.004242330177453568,0.2152059740686033,0.9957576698225464,validation_threshold_curve
0.9,0.011407729318640425,0.301206302314131,0.9885922706813596,validation_threshold_curve
0.85,0.022996533705830657,0.3776054488757591,0.9770034662941693,validation_threshold_curve
0.8,0.03812923586321071,0.4568357131134088,0.9618707641367893,validation_threshold_curve
0.75,0.05993584768999949,0.5291728212703102,0.9400641523100005,validation_threshold_curve
0.7,0.0837342852708366,0.5962169702937797,0.9162657147291634,validation_threshold_curve
0.65,0.11110248848879922,0.6546857049072706,0.8888975115112008,validation_threshold_curve
0.6,0.14017797092451756,0.7006811094698835,0.8598220290754824,validation_threshold_curve
0.55,0.16816700294893683,0.7434350894469063,0.8318329970510632,validation_threshold_curve
0.5,0.19969993274354592,0.7772443787953389,0.8003000672564541,validation_threshold_curve
0.45,0.23301774535671793,0.8108485146889873,0.7669822546432821,validation_threshold_curve
0.4,0.2717419421594496,0.8435499753815854,0.7282580578405504,validation_threshold_curve
0.35,0.3131046613896218,0.8691941572296078,0.6868953386103782,validation_threshold_curve
0.3,0.36450411299084273,0.8954537994419826,0.6354958870091573,validation_threshold_curve
0.25,0.43093279528170103,0.9212210733628754,0.569067204718299,validation_threshold_curve
0.2,0.5117957473226757,0.9436648613162646,0.4882042526773242,validation_threshold_curve
0.15,0.6277096590615138,0.9682012145084523,0.37229034093848623,validation_threshold_curve
0.1,0.7884525841999068,0.9897833579517479,0.21154741580009312,validation_threshold_curve
0.05,0.9246986393501991,0.9982356802888561,0.07530136064980082,validation_threshold_curve
